season,week,kickoff,home_team,home_score,visitors_score,visiting_team
2015,1,,Patriots,28,21,Steelers
2015,1,,Redskins,10,17,Dolphins
2015,1,,Texans,20,27,Chiefs
2015,1,,Bears,23,31,Packers
2015,1,,Broncos,19,13,Ravens
2015,1,,Cowboys,27,26,Giants
2015,1,,49ers,20,3,Vikings
2015,1,,Buccaneers,14,42,Titans
2015,1,,Cardinals,31,19,Saints
2015,1,,Rams,34,31,Seahawks
2015,1,,Jets,31,10,Browns
2015,1,,Bills,27,14,Colts
2015,1,,Jaguars,9,20,Panthers
2015,1,,Chargers,33,28,Lions
2015,1,,Raiders,13,33,Bengals
2015,1,,Falcons,26,24,Eagles
2015,2,,Steelers,43,18,49ers
2015,2,,Bears,23,48,Cardinals
2015,2,,Browns,28,14,Titans
2015,2,,Jaguars,23,20,Dolphins
2015,2,,Packers,27,17,Seahawks
2015,2,,Chiefs,24,31,Broncos
2015,2,,Saints,19,26,Buccanneers
2015,2,,Bills,32,40,Patriots
2015,2,,Giants,20,24,Falcons
2015,2,,Raiders,37,33,Ravens
2015,2,,Colts,7,20,Jets
2015,2,,Panthers,24,17,Texans
2015,2,,Vikings,26,16,Lions
2015,2,,Bengals,24,19,Chargers
2015,2,,Redskins,24,10,Rams
2015,2,,Eagles,10,20,Cowboys
2015,3,,Titans,33,35,Colts
2015,3,,Patriots,51,17,Jaguars
2015,3,,Texans,19,9,Buccaneers
2015,3,,Cardinals,47,7,49ers
2015,3,,Lions,12,24,Broncos
2015,3,,Giants,32,21,Redskins
2015,3,,Browns,20,27,Raiders
2015,3,,Panthers,27,22,Saints
2015,3,,Vikings,31,14,Chargers
2015,3,,Dolphins,14,41,Bills
2015,3,,Packers,38,28,Chiefs
2015,3,,Cowboys,28,39,Falcons
2015,3,,Ravens,24,28,Bengals
2015,3,,Jets,17,24,Eagles
2015,3,,Rams,12,6,Steelers
2015,3,,Seahawks,26,0,Bears